project_name,github_url,contributor_guidelines,project_vision,code_examples,architectural_description,setup,test_description,avg_days_until_fc,avg_lines_comitted
Notepads,0x7c13/Notepads,1,1,0,0,1,0,,
lunchy,eddiezane/lunchy,0,1,0,0,0,0,,
st2,StackStorm/st2,1,1,1,1,1,1,,
spine,spine/spine,1,1,0,1,1,1,,
neo,neomjs/neo,1,1,1,1,0,0,,
memos,usememos/memos,1,0,0,0,1,0,,
spring,spring/spring,1,1,1,0,1,0,,
puppet,puppetlabs/puppet,1,1,1,1,1,1,,
electricitymaps-contrib,electricitymaps/electricitymaps-contrib,1,1,0,0,1,0,,
beets,beetbox/beets,1,1,1,0,1,1,,
openpilot,commaai/openpilot,1,1,1,1,1,1,,
gnuradio,gnuradio/gnuradio,1,1,1,0,1,1,,
gotosocial,superseriousbusiness/gotosocial,1,1,0,1,1,1,,
runner-images,actions/runner-images,1,0,0,0,1,0,,
lama-cleaner,Sanster/lama-cleaner,0,0,0,0,0,0,,
talk,coralproject/talk,1,1,1,0,1,1,,
headless-recorder,checkly/headless-recorder,1,1,0,0,1,1,,
fast-stable-diffusion,TheLastBen/fast-stable-diffusion,0,0,0,0,0,0,,
jsonhero-web,apihero-run/jsonhero-web,1,1,0,0,1,1,,
ParlAI,facebookresearch/ParlAI,1,1,1,1,1,1,,
chef,chef/chef,1,1,1,1,0,0,,
Singular,Singular/Singular,1,1,0,0,0,1,,
KomodoEdit,Komodo/KomodoEdit,1,1,0,0,1,1,,
capistrano,capistrano/capistrano,1,1,0,0,1,1,,
arb,fredrik-johansson/arb,1,1,1,0,0,1,,
Minecraft-Overviewer,overviewer/Minecraft-Overviewer,1,1,1,1,0,0,,
picard,broadinstitute/picard,0,0,0,0,0,0,,
ipython,ipython/ipython,1,1,0,0,1,1,,
gap,gap-system/gap,1,1,0,0,0,0,,
whitehall,alphagov/whitehall,1,1,0,1,1,1,,
openmct,nasa/openmct,1,1,1,1,1,1,,
tasking-manager,hotosm/tasking-manager,1,1,0,1,1,1,,
Botania,VazkiiMods/Botania,1,1,0,0,0,1,,
spack,spack/spack,1,0,0,0,1,1,,
melonJS,melonjs/melonJS,0,1,0,0,1,1,,
statsd,statsd/statsd,1,1,0,0,0,0,,
engine,playcanvas/engine,1,1,0,0,0,0,,
OptiKey,OptiKey/OptiKey,0,1,0,0,0,0,,
firefox-ios,mozilla-mobile/firefox-ios,1,0,0,1,1,0,,
tinygrad,geohot/tinygrad,1,0,0,0,0,0,,
astropy,astropy/astropy,1,1,0,0,1,1,,
hospitalrun-frontend,HospitalRun/hospitalrun-frontend,1,1,0,0,1,1,,
ifme,ifmeorg/ifme,1,1,0,1,1,1,,
maven,apache/maven,1,1,1,1,1,1,,
overleaf,overleaf/overleaf,1,1,0,0,1,0,,
habitica-ios,HabitRPG/habitica-ios,1,0,0,0,1,0,,
calibre,kovidgoyal/calibre,1,1,0,0,1,0,,
listmonk,knadh/listmonk,1,1,0,0,1,0,,
WorldEdit,EngineHub/WorldEdit,1,1,0,0,1,0,,
jsoncrack.com,AykutSarac/jsoncrack.com,1,1,0,0,1,0,,